MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
BRC,1754.0,8.21,0.84,7.026.231.809.587.260,10.211.542.290.358.100,26.13,14.77,6.29
BRR,1177.0,16.14,1.47,8.171.564.253.741.600,9.127.926.120.305.690,-2.04,51.33,1.51
BRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSA,1052.0,21.21,1.64,5.509.047.322.514.260,7.756.090.871.306.810,-13.95,-26.27,-5.93
BSC,686.0,21.28,1.13,49.816.104.256.294.600,5.319.353.857.449.460,44.69,8.38,3.81
BSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSG,748.0,15.64,1.87,8.049.809.001.728.180,11.932.961.298.302.200,21.8,10.22,8.55
BSH,2277.0,8.21,1.1,10.363.462.438.200.100,1.334.958.506.900.130,4.82,-6.99,-15.78
BSI,1946.0,24.98,2.14,4.004.548.796.049.480,8.160.432.749.228.000,12.05,07.06,23.88
BSL,897.0,11.15,0.89,6.293.249.233.646.560,7.941.941.326.467.100,15.56,20.32,-2.37
BSP,531.0,19.02,0.66,2.002.594.145.829.800,3.473.804.193.561.090,16.12,-2.61,-2.58
BSQ,2223.0,9.31,1.11,7.515.803.933.358.060,11.951.948.333.134.800,7.0,-7.19,-12.8
BSR,202.0,113.04,1.27,661.800.032.066.764,10.540.511.557.797.500,-16.55,-95.53,2.14
BST,1473.0,10.05,01.06,6.348.264.528.009.690,10.546.806.203.655.100,-16.41,-19.49,-6.89
BT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTH,28403.0,1.26,0.95,5.353.921.669.001.150,7.527.145.408.332.020,172247.81,96562.79,11.05
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,578.0,20.75,0.69,27.824.662.303.932.200,33.137.932.107.224.100,-54.17,45.93,-13.72
BTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS,-1601.0,-3.06,0.57,-6.391.889.608.034.730,-18.476.864.626.488.500,1.41,-106.2,-11.56
BTT,3476.0,11.65,1.4,9.303.886.488.777.130,1.207.351.686.582.110,18.97,12.44,-0.53
BTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTV,1187.0,11.71,1.39,5.947.295.512.827.320,11.875.484.119.663.100,25.98,12.53,8.12
BTW,5028.0,08.08,1.45,12.358.832.359.382.500,18.009.792.491.947.200,5.98,10.17,03.08
BUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
