doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue
238090038677.0,12452373034.0,21085440133.0,20569033750.0
4609002093685.0,187715135254.0,-137176778.0,14105741507.0
918600210086.0,21339524923.0,5908573304.0,5254451352.0
1160602794231.0,24047557426.0,-7187976219.0,-8508418003.0
918232190646.0,10067540064.0,4341131667.0,1949062782.0
2708460952124.0,59251633701.0,12138784264.0,12075332020.0
5272724948.0,1235474474.0,-6733427000.0,-7469155140.0
3369278515.0,876015747.0,-1001031374.0,-756335355.0
14762079517.0,10053841633.0,-2160110413.0,721154262.0
1118709518207.0,255247636606.0,130205932476.0,140563965779.0
369577441141.0,25025248010.0,2977927173.0,4549365890.0
140320358640.0,13552118961.0,2774963990.0,2798114561.0
1191685595511.0,295160918728.0,179469520076.0,163185994231.0
145405107521.0,2864823370.0,9100464391.0,6732713050.0
3980864021638.0,1251359909087.0,574855564191.0,523893633928.0
115702460191.0,22282191619.0,1189414947.0,536502294.0
578606297630.0,205571584658.0,89854130471.0,89997370917.0
2336889725069.0,1236456085693.0,323883771127.0,324640661377.0
230077135111.0,93152050071.0,-5065003887.0,-5004167945.0
269834576628.0,65331444465.0,-30049063678.0,4805191022.0
1538861395434.0,296283872210.0,94196373424.0,58265510565.0
627512823414.0,93967072295.0,44292590631.0,44870618278.0
4121908336161.3467,610514752463.5018,-5950636740.0,-5950636740.0
2057034336851.0,69933797265.0,32386833450.0,34786636420.0
69343852258.0,3352619858.0,-8039501476.0,-9820699027.0
1446430915995.0,404111147567.0,223789842903.0,223818862671.0
561471007219.0,45667581236.0,11312500759.0,7691935484.0
5656563814495.0,1769949264907.0,885058912782.0,888450064799.0
1684453453400.0,413102685538.0,759653575466.0,747755022279.0
88057102128.0,15975554769.0,8515464385.0,7816989989.0
678363642180.0,159384115006.0,72789039986.0,73194389790.0
1617938491726.0,134344292360.0,7188357636.0,9808459719.0
258858166760.0,-39117643479.0,-208323577255.0,17121984694.0
66760159719.0,18232291008.0,4089880299.0,4067979695.0
41330743041.0,374018814.0,-5284360157.0,45591036.0
413925301481.0,357287322257.0,248394140256.0,248394125256.0
986949343833.0,298092820313.0,110604094463.0,117428613656.0
188106088619.0,54337124180.0,-16509327430.0,-13531458705.0
396436407429.0,62636982671.0,35934787083.0,39672134281.0
4733193172494.0,2284828685686.0,691786284620.0,727690367519.0
1233029252986.0,141655086749.0,44134968892.0,71584935378.0
393590487971.0,64053346991.0,38317555125.0,38484676588.0
1361565571866.0,69816371587.0,240770375771.0,240199846691.0
1341451162943.0,352594379344.0,163742669953.0,158419461859.0
7636981845.0,1773607644.0,631650151.0,459010396.0
11764940231403.0,819343357770.0,565610708188.0,544208054283.0
732066153220.0,116957504160.0,67442513822.0,67616220428.0
7658150303528.0,3124965569608.0,1105078294809.0,1108404124001.0
62402793000000.0,610514752463.5018,59357149000000.0,31758320000000.0
494573791771.0,220720692324.0,220688351247.0,220078911872.0
1031980846097.0,298830991650.0,-36791302619.0,257949776799.0
7450091674.0,85107217.0,-4648226291.0,-4448549423.0
113587777352.0,105123006195.0,82199632890.0,81433016825.0
14336328727000.0,892706621000.0,-258075720000.0,-933569686000.0
3958979633852.0,1693211157367.0,730875241896.0,741078844714.0
33940309586.0,7930817201.0,14965030191.0,4409027468.0
832963437748.0,54491428926.0,27716010194.0,27092381767.0
102592491503.0,5652310161.0,-40525685736.0,-50603628273.0
3150352405159.0,80440756782.0,10393360544.0,34834508464.0
10601238012356.0,347635530041.0,-55242055884.0,4145472742.0
95682474431.0,12550262875.0,52792310581.0,52451523273.0
355170369820.0,50066677414.0,17244107369.0,17018992182.0
38371820418.0,1709426415.0,-5227362339.0,-820192838.0
990555836109.0,489881957954.0,205248611671.0,205133560954.0
309842135613.0,45407872498.0,80627769162.0,72727879134.0
771127397318.0,239865098863.0,18078585835.0,17736998724.0
58481897633.0,13780658966.0,860266974.0,844923152.0
739806069024.0,357216756968.0,2568838384.0,24337792973.0
21460066916824.0,1631718862296.0,3399906179.0,58713434440.0
447855702110.0,110985389555.0,71494942709.0,73185755967.0
426909134428.0,180032822745.0,68098865116.0,62301572364.0
704278000000.0,610514752463.5018,270482000000.0,99344000000.0
123027071014650.0,436229788787.0,652262300853.0,680185076861.0
194942239067.0,34061345546.0,17313997469.0,17314275712.0
255973767442.0,94905679452.0,18096826169.0,19303648631.0
53034478392.0,1292274236.0,-2478814830.0,2921950524.0
848407070.0,292519070.0,-2418323653.0,-2417323653.0
